x,y,z
0.0,0.0,177.622
2.5,0.0,177.60521666666668
5.0,0.0,177.65986666666666
7.5,0.0,177.59959999999998
10.0,0.0,177.53553333333332
12.5,0.0,177.44074999999998
15.0,0.0,177.25150000000002
17.5,0.0,177.3938
20.0,0.0,177.40133333333333
22.5,0.0,177.62115
25.0,0.0,177.86716666666666
27.5,0.0,178.0265
30.0,0.0,177.9878
32.5,0.0,177.92695
35.0,0.0,177.99949999999998
37.5,0.0,178.05775
40.0,0.0,178.01553333333334
42.5,0.0,177.94305
45.0,0.0,177.9669
47.5,0.0,177.9018
50.0,0.0,177.91366666666667
52.5,0.0,178.0066
55.0,0.0,178.1411
57.5,0.0,178.16473333333334
60.0,0.0,178.0094
62.5,0.0,177.87208333333334
65.0,0.0,177.8594
67.5,0.0,177.99705
70.0,0.0,178.00886666666665
72.5,0.0,177.98603333333332
75.0,0.0,177.8055
77.5,0.0,177.75183333333334
80.0,0.0,177.648
82.5,0.0,177.59625
85.0,0.0,177.60976666666667
87.5,0.0,177.508
90.0,0.0,177.5788
92.5,0.0,177.57601666666667
95.0,0.0,177.58833333333334
97.5,0.0,177.58145
100.0,0.0,177.66166666666666
102.5,0.0,177.63594999999998
105.0,0.0,177.6536
107.5,0.0,177.7661
110.0,0.0,177.82453333333333
112.5,0.0,177.75125
115.0,0.0,177.79420000000002
117.5,0.0,178.0356
120.0,0.0,178.09220000000002
122.5,0.0,177.87231666666668
125.0,0.0,177.84816666666666
127.5,0.0,177.86865
130.0,0.0,177.90926666666667
132.5,0.0,177.84404999999998
135.0,0.0,177.7241
137.5,0.0,177.73216666666664
140.0,0.0,177.69433333333333
142.5,0.0,177.6936
145.0,0.0,177.7169
147.5,0.0,177.69641666666666
150.0,0.0,177.706
